q_e,eps_ratio,branch_id,type,residual
0.012500000000000001,1,0,nr,3.782e-16
0.025000000000000001,1,0,nr,3.782e-16
0.037500000000000006,1,0,nr,3.782e-16
0.050000000000000003,1,0,nr,3.782e-16
0.0625,1,0,nr,3.782e-16
0.074999999999999997,1,0,nr,3.782e-16
0.087500000000000008,1,0,nr,3.782e-16
0.10000000000000001,1,0,nr,3.782e-16
0.1125,1,0,nr,3.782e-16
0.125,1,0,nr,3.782e-16
0.13750000000000001,1,0,nr,3.782e-16
0.15000000000000002,1,0,nr,3.782e-16
0.16250000000000003,1,0,nr,3.782e-16
0.17500000000000002,1,0,nr,3.782e-16
0.18750000000000003,1,0,nr,3.782e-16
0.20000000000000001,1,0,nr,3.782e-16
0.21250000000000002,1,0,nr,3.782e-16
0.22500000000000003,1,0,nr,3.782e-16
0.23750000000000002,1,0,nr,3.782e-16
0.25,1,0,nr,3.782e-16
0.26250000000000001,1,0,nr,3.782e-16
0.27500000000000002,1,0,nr,3.782e-16
0.28750000000000003,1,0,nr,3.782e-16
0.30000000000000004,1,0,nr,3.782e-16
0.31250000000000006,1,0,nr,3.782e-16
0.32500000000000001,1,0,nr,3.782e-16
0.33750000000000002,1,0,nr,3.782e-16
0.35000000000000003,1,0,nr,3.782e-16
0.36250000000000004,1,0,nr,3.782e-16
0.37500000000000006,1,0,nr,3.782e-16
0.38750000000000001,1,0,nr,3.782e-16
0.40000000000000002,1,0,nr,3.782e-16
0.41250000000000003,1,0,nr,3.782e-16
0.42500000000000004,1,0,nr,3.782e-16
0.43750000000000006,1,0,nr,3.782e-16
0.45000000000000001,1,0,nr,3.782e-16
0.46250000000000002,1,0,nr,3.782e-16
0.47500000000000003,1,0,nr,3.782e-16
0.48750000000000004,1,0,nr,3.782e-16
0.5,1,0,nr,3.782e-16
0.51249999999999996,1,0,nr,3.782e-16
0.52500000000000002,1,0,nr,3.782e-16
0.53749999999999998,1,0,nr,3.782e-16
0.54999999999999993,1,0,nr,3.782e-16
0.5625,1,0,nr,3.782e-16
0.57499999999999996,1,0,nr,3.782e-16
0.58750000000000002,1,0,nr,3.782e-16
0.59999999999999998,1,0,nr,3.782e-16
0.61250000000000004,1,0,nr,3.782e-16
0.625,1,0,nr,3.782e-16
0.63749999999999996,1,0,nr,3.782e-16
0.65000000000000002,1,0,nr,3.782e-16
0.66249999999999998,1,0,nr,3.782e-16
0.67500000000000004,1,0,nr,3.782e-16
0.6875,1,0,nr,3.782e-16
0.69999999999999996,1,0,nr,3.782e-16
0.71250000000000002,1,0,nr,3.782e-16
0.72499999999999998,1,0,nr,3.782e-16
0.73750000000000004,1,0,nr,3.782e-16
0.75,1,0,nr,3.782e-16
0.76249999999999996,1,0,nr,3.782e-16
0.77500000000000002,1,0,nr,3.782e-16
0.78749999999999998,1,0,nr,3.782e-16
0.80000000000000004,1,0,nr,3.782e-16
0.8125,1,0,nr,3.782e-16
0.82499999999999996,1,0,nr,3.782e-16
0.83750000000000002,1,0,nr,3.782e-16
0.84999999999999998,1,0,nr,3.782e-16
0.86250000000000004,1,0,nr,3.782e-16
0.875,1,0,nr,3.782e-16
0.88749999999999996,1,0,nr,3.782e-16
0.90000000000000002,1,0,nr,3.782e-16
0.91249999999999998,1,0,nr,3.782e-16
0.92500000000000004,1,0,nr,3.782e-16
0.9375,1,0,nr,3.782e-16
0.94999999999999996,1,0,nr,3.782e-16
0.96250000000000002,1,0,nr,3.782e-16
0.97499999999999998,1,0,nr,3.782e-16
0.98750000000000004,1,0,nr,3.782e-16
1,1,0,nr,3.782e-16
1.0125,1,0,nr,3.782e-16
1.0249999999999999,1,0,nr,3.782e-16
1.0375000000000001,1,0,nr,3.782e-16
1.05,1,0,nr,3.782e-16
1.0625,1,0,nr,3.782e-16
1.075,1,0,nr,3.782e-16
1.0874999999999999,1,0,nr,3.782e-16
1.1000000000000001,1,0,nr,3.782e-16
1.1125,1,0,nr,3.782e-16
1.125,1,0,nr,3.782e-16
1.1375,1,0,nr,3.782e-16
1.1499999999999999,1,0,nr,3.782e-16
1.1625000000000001,1,0,nr,3.782e-16
1.175,1,0,nr,3.782e-16
1.1875,1,0,nr,3.782e-16
1.2,1,0,nr,3.782e-16
1.2125000000000001,1,0,nr,3.782e-16
1.2250000000000001,1,0,nr,3.782e-16
1.2375,1,0,nr,3.782e-16
1.25,1,0,nr,3.782e-16
1.2625,1,0,nr,3.782e-16
1.2750000000000001,1,0,nr,3.782e-16
1.2875000000000001,1,0,nr,3.782e-16
1.3,1,0,nr,3.782e-16
1.3125,1,0,nr,3.782e-16
1.325,1,0,nr,3.782e-16
1.3375000000000001,1,0,nr,3.782e-16
1.3500000000000001,1,0,nr,3.782e-16
1.3625,1,0,nr,3.782e-16
1.375,1,0,nr,3.782e-16
1.3875,1,0,nr,3.782e-16
1.4000000000000001,1,0,nr,3.782e-16
1.4125000000000001,1,0,nr,3.782e-16
1.425,1,0,nr,3.782e-16
1.4375,1,0,nr,3.782e-16
1.45,1,0,nr,3.782e-16
1.4625000000000001,1,0,nr,3.782e-16
1.4750000000000001,1,0,nr,3.782e-16
1.4875,1,0,nr,3.782e-16
1.5,1,0,nr,3.782e-16
1.5125,1,0,nr,3.782e-16
1.5250000000000001,1,0,nr,3.782e-16
1.5375000000000001,1,0,nr,3.782e-16
1.55,1,0,nr,3.782e-16
1.5625,1,0,nr,3.782e-16
1.575,1,0,nr,3.782e-16
1.5875000000000001,1,0,nr,3.782e-16
1.6000000000000001,1,0,nr,3.782e-16
1.6125,1,0,nr,3.782e-16
1.625,1,0,nr,3.782e-16
1.6375,1,0,nr,3.782e-16
1.6500000000000001,1,0,nr,3.782e-16
1.6625000000000001,1,0,nr,3.782e-16
1.675,1,0,nr,3.782e-16
1.6875,1,0,nr,3.782e-16
1.7,1,0,nr,3.782e-16
1.7125000000000001,1,0,nr,3.782e-16
1.7250000000000001,1,0,nr,3.782e-16
1.7375,1,0,nr,3.782e-16
1.75,1,0,nr,3.782e-16
1.7625,1,0,nr,3.782e-16
1.7750000000000001,1,0,nr,3.782e-16
1.7875000000000001,1,0,nr,3.782e-16
1.8,1,0,nr,3.782e-16
1.8125,1,0,nr,3.782e-16
1.825,1,0,nr,3.782e-16
1.8375000000000001,1,0,nr,3.782e-16
1.8500000000000001,1,0,nr,3.782e-16
1.8625,1,0,nr,3.782e-16
1.875,1,0,nr,3.782e-16
1.8875,1,0,nr,3.782e-16
1.9000000000000001,1,0,nr,3.782e-16
1.9125000000000001,1,0,nr,3.782e-16
1.925,1,0,nr,3.782e-16
1.9375,1,0,nr,3.782e-16
1.95,1,0,nr,3.782e-16
1.9625000000000001,1,0,nr,3.782e-16
1.9750000000000001,1,0,nr,3.782e-16
1.9875,1,0,nr,3.782e-16
2,1,0,nr,3.782e-16
2.0125000000000002,1,0,nr,3.782e-16
2.0250000000000004,1,0,nr,3.782e-16
2.0375000000000001,1,0,nr,3.782e-16
